,sample_name,smartseq_cluster_id,smartseq_cluster,sex_label,smartseq_cluster_color,medical_cond_label,cell_counts,n_genes,percent_mito,pass_count_filter,pass_mito_filter
SM-GE4R2_S062_E1-50,SM-GE4R2_S062_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964371.56,9772,0.0,True,True
SM-GE4SI_S356_E1-50,SM-GE4SI_S356_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,973072.06,8253,0.0,True,True
SM-GE4SI_S172_E1-50,SM-GE4SI_S172_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,977132.6,9394,0.0,True,True
LS-15034_S07_E1-50,LS-15034_S07_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,948605.44,10643,0.0,True,True
LS-15034_S28_E1-50,LS-15034_S28_E1-50,42,Nr5a1_4|7 Glipr1,F,#763BFF,behavior - none,951803.0,10550,0.0,True,True
LS-15056_E1-50_S01,LS-15056_E1-50_S01,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,954984.75,10252,0.0,True,True
LS-15079_S16_E1-50,LS-15079_S16_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,957453.6,9782,0.0,True,True
LS-15301_S44_E1-50,LS-15301_S44_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,966993.56,11124,0.0,True,True
LS-15301_S47_E1-50,LS-15301_S47_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960725.94,10336,0.0,True,True
LS-15301_S53_E1-50,LS-15301_S53_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,963680.94,10902,0.0,True,True
LS-15301_S56_E1-50,LS-15301_S56_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960329.75,10427,0.0,True,True
LS-15301_S58_E1-50,LS-15301_S58_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,957904.4,10403,0.0,True,True
LS-15301_S61_E1-50,LS-15301_S61_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,967377.7,10693,0.0,True,True
LS-15301_S91_E1-50,LS-15301_S91_E1-50,46,Nr5a1_9|11 Rorb,F,#6C39A6,behavior - none,963526.5,9472,0.0,True,True
LS-15391_S12_E1-50,LS-15391_S12_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,956130.4,9507,0.0,True,True
LS-15391_S21_E1-50,LS-15391_S21_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,955540.3,9699,0.0,True,True
LS-15393_S09_E1-50,LS-15393_S09_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,956850.1,9706,0.0,True,True
LS-15393_S58_E1-50,LS-15393_S58_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959662.7,10313,0.0,True,True
LS-15393_S59_E1-50,LS-15393_S59_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959357.44,10915,0.0,True,True
LS-15393_S60_E1-50,LS-15393_S60_E1-50,42,Nr5a1_4|7 Glipr1,M,#763BFF,behavior - none,957700.9,10059,0.0,True,True
LS-15393_S65_E1-50,LS-15393_S65_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,961013.75,11258,0.0,True,True
LS-15393_S69_E1-50,LS-15393_S69_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,964524.25,9975,0.0,True,True
LS-15393_S72_E1-50,LS-15393_S72_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,962220.3,10191,0.0,True,True
LS-15393_S77_E1-50,LS-15393_S77_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,959501.0,10841,0.0,True,True
LS-15393_S80_E1-50,LS-15393_S80_E1-50,46,Nr5a1_9|11 Rorb,M,#6C39A6,behavior - none,960086.4,10615,0.0,True,True
